,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,accommodates,host_is_superhost,host_response_rate,host_response_time,listing_url,maximum_nights,property_type,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,distancia
9520,592470916180799377,YOUROPO - City Center 3,16922131.0,YourOpo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1419,-8.61505,Entire home/apt,320.0,1.0,3.0,2022-06-12,0.42,86.0,361.0,3.0,123696/AL,2.0,t,100.0,within an hour,https://www.airbnb.com/rooms/592470916180799377,1125.0,Entire rental unit,5.0,4.67,5.0,4.67,5.0,4.67,4.33,0.9240312083531342
9521,592470924692996738,YOUROPO - City Center 2,16922131.0,YourOpo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14209,-8.61382,Entire home/apt,307.0,1.0,3.0,2022-10-25,0.37,86.0,358.0,3.0,123710/AL,2.0,t,100.0,within an hour,https://www.airbnb.com/rooms/592470924692996738,1125.0,Entire rental unit,4.67,5.0,5.0,5.0,5.0,5.0,5.0,0.8701322564947725
9522,592470934507836964,YOUROPO - City Center 5,16922131.0,YourOpo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14382,-8.61362,Entire home/apt,331.0,1.0,24.0,2022-10-31,2.74,86.0,365.0,24.0,123704/AL,4.0,t,100.0,within an hour,https://www.airbnb.com/rooms/592470934507836964,1125.0,Entire rental unit,4.96,4.96,5.0,5.0,5.0,4.88,4.83,0.68186758746451
9523,586866334131025052,Jardim do Morro Design Apartment 3 bedroom,7417225.0,Clare,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13384,-8.60574,Entire home/apt,98.0,2.0,29.0,2022-11-23,3.47,2.0,344.0,29.0,125111/AL,6.0,t,100.0,within an hour,https://www.airbnb.com/rooms/586866334131025052,1125.0,Entire rental unit,4.93,4.93,4.9,4.86,4.69,4.83,4.62,1.8049164601613203
9524,593841537285056750,Beautiful Beach House Praia da Aguda,11619726.0,Elisa,VILA NOVA DE GAIA,Arcozelo,41.049984,-8.654806,Entire home/apt,100.0,3.0,5.0,2022-10-05,1.01,3.0,352.0,5.0,78785/AL,6.0,t,100.0,within an hour,https://www.airbnb.com/rooms/593841537285056750,1125.0,Entire home,5.0,5.0,4.8,5.0,5.0,5.0,5.0,11.671778131914637
9525,592571768536767542,Bombarda Apartments III by Innkeeper,447690190.0,Innkeeper,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14916,-8.62036,Entire home/apt,43.0,2.0,17.0,2022-11-01,2.03,13.0,359.0,17.0,122957/AL,4.0,f,96.0,within an hour,https://www.airbnb.com/rooms/592571768536767542,365.0,Entire rental unit,4.88,4.76,4.76,4.53,4.82,4.71,4.65,0.7935896976624615
9526,592578377774356780,Bombarda Apartments IV by Innkeeper,447690190.0,Innkeeper,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15035,-8.61934,Entire home/apt,48.0,2.0,26.0,2022-11-15,3.11,13.0,345.0,26.0,122929/AL,4.0,f,96.0,within an hour,https://www.airbnb.com/rooms/592578377774356780,365.0,Entire rental unit,4.88,4.85,4.81,4.81,4.85,4.88,4.85,0.7115735988815632
9527,592584650602080463,Bombarda Apartments V by Innkeeper,447690190.0,Innkeeper,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14947,-8.62111,Entire home/apt,56.0,2.0,44.0,2022-12-14,5.08,13.0,343.0,44.0,122371/AL,6.0,f,96.0,within an hour,https://www.airbnb.com/rooms/592584650602080463,365.0,Entire rental unit,4.86,4.84,4.86,4.7,4.89,4.77,4.84,0.8549973281741869
9528,593895517671057261,"Beautiful apartment, central area, Batalha - Porto",192739665.0,Jéssica,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14654,-8.60449,Entire home/apt,80.0,30.0,24.0,2022-11-17,2.95,18.0,348.0,24.0,124417/AL,2.0,t,100.0,within an hour,https://www.airbnb.com/rooms/593895517671057261,1125.0,Entire rental unit,4.92,5.0,4.88,4.92,5.0,4.92,4.83,0.6354830471520111
9529,592654068241661242,City Drops Hostel Private Orange Room 8 Single Bed,88204895.0,Tomas,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15506,-8.6079,Private room,57.0,1.0,0.0,nan,0.3666666666666667,26.0,310.0,0.0,Exempt,8.0,f,100.0,within an hour,https://www.airbnb.com/rooms/592654068241661242,1125.0,Room in aparthotel,3.3333333333333335,3.25,3.5833333333333335,3.6666666666666665,4.25,3.0,2.5,0.6570310071673402
9530,586885327626302547,FLH Porto Ribeira Typical Studio,3953109.0,Feels Like Home,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14312,-8.61192,Entire home/apt,55.0,1.0,16.0,2022-10-24,1.95,85.0,347.0,16.0,107728/AL,2.0,f,99.0,within an hour,https://www.airbnb.com/rooms/586885327626302547,1125.0,Entire rental unit,4.44,3.94,4.19,4.5,4.63,4.06,4.13,0.7255872842247206
9531,586896764824237394,casaporto.207 B | Flat balcony panoramic view,444747022.0,Casaporto,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.145016,-8.614302,Entire home/apt,89.0,2.0,49.0,2022-12-11,5.79,9.0,160.0,49.0,123388/AL,2.0,t,100.0,within an hour,https://www.airbnb.com/rooms/586896764824237394,1125.0,Entire serviced apartment,4.92,4.98,5.0,4.94,4.94,4.96,4.86,0.583913648323732
9532,586904704574244247,Confortable 2 bedrooms apartment on 4th floor,452519803.0,nan,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14339,-8.61457,Entire home/apt,55.0,287.0,14.0,2022-09-12,1.62,3.0,0.0,14.0,59191/AL,6.0,f,0.0,nan,https://www.airbnb.com/rooms/586904704574244247,287.0,Entire condo,4.64,4.93,4.71,4.93,5.0,4.5,4.29,0.7558122079227406
9533,593956194536553319,O panorâmico Douro,451926419.0,Alexandre,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13631,-8.61196,Entire home/apt,85.0,2.0,39.0,2022-12-11,4.53,3.0,282.0,39.0,65827/AL,4.0,f,92.0,within an hour,https://www.airbnb.com/rooms/593956194536553319,365.0,Entire rental unit,4.84,4.51,4.49,4.72,4.95,4.64,4.59,1.4804438845836507
9534,586914482476632265,5th Floor Confortable Central 2 bedrooms apartment,452519803.0,nan,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14167,-8.6164,Entire home/apt,55.0,1.0,8.0,2022-08-22,0.94,3.0,0.0,8.0,59196/AL,6.0,f,0.0,nan,https://www.airbnb.com/rooms/586914482476632265,365.0,Entire condo,4.75,4.38,4.13,4.13,4.88,4.25,4.38,0.9947983420293857
9535,586988226147612670,Casa Maiorca em Leça da Palmeira,292135622.0,Maria Carmo,MATOSINHOS,Matosinhos e Leça da Palmeira,41.19023,-8.69921,Entire home/apt,40.0,14.0,1.0,2022-10-30,0.61,3.0,165.0,1.0,103262/AL,3.0,f,100.0,within an hour,https://www.airbnb.com/rooms/586988226147612670,1125.0,Entire home,4.0,5.0,5.0,5.0,5.0,5.0,5.0,8.663143636721596
9536,587210155066385675,Stay Well Apartments,450546704.0,Stay Well Apartments,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13553,-8.60744,Entire home/apt,68.0,2.0,30.0,2022-12-02,3.5,3.0,340.0,30.0,124490/AL,2.0,t,100.0,within an hour,https://www.airbnb.com/rooms/587210155066385675,365.0,Entire loft,4.97,4.97,4.97,4.97,4.87,4.9,4.8,1.591114521006251
9537,594001896742394285,Vivenda Center Porto,269788320.0,Hadassa,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1591,-8.60907,Entire home/apt,140.0,2.0,1.0,2022-04-12,0.12,2.0,0.0,1.0,102659/AL,8.0,f,100.0,within a day,https://www.airbnb.com/rooms/594001896742394285,365.0,Entire home,1.0,4.0,1.0,5.0,3.0,1.0,1.0,1.0674049890578992
9538,587420107164586234,"Aguda Beach Porto
slow travel houses
(Sea House)",1535724.0,Raquel,VILA NOVA DE GAIA,Arcozelo,41.048462,-8.65351,Entire home/apt,100.0,3.0,8.0,2022-11-21,0.98,2.0,259.0,8.0,123314/AL,3.0,t,100.0,within an hour,https://www.airbnb.com/rooms/587420107164586234,30.0,Entire vacation home,5.0,5.0,5.0,5.0,5.0,5.0,4.88,11.799209051877385
