name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
SLEEP BOAT,41609941,Osvaldo,PORTO,Campanhã,41.14327,-8.57725,Private room,129,1,18,2019-09-09,0.35,1,365,0,123456/AL
Porto Pacific Apartments - Almeida Garrett,34650052,André,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14648,-8.6121,Entire home/apt,63,1,246,2022-11-27,4.78,3,329,65,81509/AL
★  Oporto Sweet Home III,217369070,Brenno,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15248,-8.61101,Entire home/apt,46,1,105,2022-11-13,2.05,5,362,32,121510/AL
AC Loft,93665372,Maria,PORTO,Paranhos,41.16564,-8.6073,Entire home/apt,31,1,126,2022-11-08,2.46,9,243,35,39336/AL
★ Oporto Sweet Home II,217369070,Brenno,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15248,-8.61101,Entire home/apt,46,2,80,2022-10-25,1.57,5,354,23,121510/AL
Charming Room with View,204743954,Santa Catarina,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14568,-8.60674,Hotel room,83,1,0,,,5,293,0,117114/AL
Apartamento da Praia-Surf,49621649,Celso E Dânia,MATOSINHOS,Matosinhos e Leça da Palmeira,41.18001,-8.69024,Entire home/apt,100,3,82,2022-11-07,1.63,2,105,18,82063/AL
Charming Central Studio with AC,11370394,Sílvia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15489,-8.60856,Entire home/apt,74,2,14,2022-09-17,2.15,2,363,14,125641
Banho de Mar,217398285,Manuel,PÓVOA DE VARZIM,"Póvoa de Varzim, Beiriz e Argivai",41.379433,-8.7657,Entire home/apt,70,3,12,2022-12-10,0.25,3,331,2,Nº78480
Amazing Room in Santa Catarina,204743954,Santa Catarina,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14741,-8.60736,Hotel room,99,1,0,,,5,259,0,117114/AL
