name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
Porto city flat near the sea,180050,Paula,PORTO,Lordelo do Ouro e Massarelos,41.1501,-8.66035,Entire home/apt,60,2,20,2022-07-28,0.17,1,93,3,29049/AL
Fontielas Houses |Floor1 in House with shared Pool,259711,Isabel E João,PAREDES,Cete,41.17481,-8.35362,Entire home/apt,66,3,15,2022-08-29,0.17,3,0,1,7563/AL
Fontielas Houses |Floor0 in House with shared Pool,259711,Isabel E João,PAREDES,Cete,41.17449,-8.35426,Entire home/apt,66,5,12,2022-08-22,0.13,3,0,4,7563/AL
A Formosa - a nest made for two,185209,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14918,-8.60922,Private room,33,2,194,2022-11-27,1.37,8,314,45,6995/AL
Oporto Apartment Triplex,480980,Paula,PORTO,Bonfim,41.15786,-8.60427,Entire home/apt,64,3,225,2022-11-24,1.74,3,281,31,634/AL
A Formosa 2 -The red sofa room,185209,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14908,-8.60905,Private room,35,2,191,2022-11-27,1.35,8,324,40,6995/AL
Studio 4,1997241,Studios,PORTO,Bonfim,41.15215,-8.60375,Entire home/apt,67,3,12,2021-10-27,0.1,8,359,0,6688-AL
Clérigos Downtown - Historic Center,2220420,Tomás,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14581,-8.61272,Entire home/apt,134,2,413,2022-11-28,3.35,8,233,57,28177/AL
Big TERRACE APARTMENT / city center,505473,Gundega & Antonio,PORTO,Bonfim,41.14707,-8.60109,Entire home/apt,68,3,288,2022-10-23,2.04,1,365,3,85541/AL
Great room in Oporto's centre WIFI,2861881,Sofia & Jorge,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14849,-8.60406,Private room,51,2,46,2019-05-02,0.39,6,0,0,AL 52876
Blue Oporto Home River Front - Ribeira,2010935,Diana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.13899,-8.6151,Entire home/apt,88,2,141,2022-11-23,1.1,13,243,7,6852/AL
Boat Blue Days,511741,Manuel,VILA NOVA DE GAIA,Canidelo,41.1411,-8.65148,Entire home/apt,214,1,10,2022-06-13,0.13,1,364,2,90/2015
Holiday Villa - Casa do Sobreiro,2016951,António Luís,GONDOMAR,Melres e Medas,41.07471,-8.41248,Entire home/apt,150,3,91,2022-09-03,0.79,1,279,6,32568/AL
HEART OF THE CITY - SPACIOUS FLAT,3928878,Ana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14688,-8.61333,Entire home/apt,50,2,319,2020-08-15,2.92,1,0,0,49892/AL
casa de praia,528145,Isabel Morgado,VILA NOVA DE GAIA,Gulpilhares e Valadares,41.07378,-8.65368,Private room,80,1,0,,,1,365,0,
Basic Studio With Top Location and View . Carmo 1,3944088,Estudios,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14655,-8.61746,Entire home/apt,44,3,322,2022-11-21,2.66,7,356,35,19269/AL
T0 (Studio for Peaceful Holidays by the Sea),2048592,Maria,VILA NOVA DE GAIA,São Félix da Marinha,41.03993,-8.64003,Entire home/apt,65,2,3,2022-08-31,0.03,1,343,2,
A Formosa 3 - Little Vintage Nook,185209,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14908,-8.60905,Private room,30,2,111,2022-12-04,0.8,8,319,28,6995/AL
Basic Studio With Top Location . Carmo 2,3944088,Estudios,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14755,-8.61742,Entire home/apt,49,3,152,2022-03-31,1.25,7,351,5,19288/AL
Aida Duplex Apartment | 5 Bedrooms,541968,Aida,PORTO,Bonfim,41.15877,-8.59893,Entire home/apt,245,4,277,2022-11-04,2.0,1,357,14,11205/AL
Shining view in the city heart 5,1630185,Ox,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14267,-8.61718,Entire home/apt,95,3,56,2022-10-29,0.44,15,349,12,5929/AL
Just a 5minute walk from the beach!,2136541,Maria,MATOSINHOS,Matosinhos e Leça da Palmeira,41.20043,-8.70667,Entire home/apt,38,4,133,2022-12-01,1.17,1,182,20,
Minha casinha / My little house,544104,Manuel,VILA NOVA DE GAIA,Oliveira do Douro,41.12961,-8.58427,Entire home/apt,55,4,142,2022-10-30,1.22,1,1,19,
Facing the sea and harbor boats,2174759,Patricia,VILA DO CONDE,Vila do Conde,41.37035,-8.762,Entire home/apt,91,2,72,2022-10-27,0.57,1,319,8,12467/AL
"City center, Free Parking, fantastic view",4030159,Dalila,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1447,-8.60541,Entire home/apt,48,2,533,2022-12-11,4.35,1,241,81,132540/AL
Studio in  Porto,3163699,Sónia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14283,-8.60787,Entire home/apt,55,3,49,2022-10-03,0.46,2,3,14,
Rooms-Piscina-Praia,559704,Armando,ESPINHO,Anta e Guetim,40.99902,-8.6163,Private room,60,2,9,2022-09-24,0.12,2,365,3,10224
"ExtendALL, PORTO Studio 1",4115877,Bruno,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14195,-8.61844,Entire home/apt,100,2,21,2021-12-05,0.18,3,180,0,52937/AL
"ExtendALL, PORTO Loft",4115877,Bruno,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.14008,-8.62086,Entire home/apt,120,2,43,2022-09-14,0.35,3,114,2,52937/AL
GuestReady - Charm Loft,364783572,GuestReady,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14267,-8.61356,Entire home/apt,36,2,401,2022-12-10,3.15,245,277,42,55201/AL
1 Bedroom Vintage Apartment 60sqm Clérigos,577638,César,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14602,-8.61447,Entire home/apt,47,4,225,2022-11-11,1.61,1,118,25,5380/AL
2min walk from beach - 20min from Porto City,2404540,Marco,VILA DO CONDE,Vila do Conde,41.34521,-8.7508,Entire home/apt,83,3,31,2022-10-15,0.29,1,218,9,14159/AL
Aposentus - Lapa Downtown,179432438,Aposentus,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15821,-8.6124,Entire home/apt,44,3,102,2022-10-31,0.84,44,347,26,9049/AL
Clérigos Room | Historic Centre,2220420,Tomás,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14576,-8.61271,Private room,45,2,818,2022-11-26,6.75,8,334,82,28177/AL
Sailing boat at the beach,4338551,Aude,MATOSINHOS,Matosinhos e Leça da Palmeira,41.1868,-8.70497,Entire home/apt,74,2,20,2022-10-04,0.17,1,362,9,228/AL
Confort &Nature in peaceful village,4346713,Dulce,AROUCA,Canelas e Espiunca,40.99038,-8.21421,Entire home/apt,185,2,36,2022-09-13,0.32,2,350,12,3515
Central House with 2 bedrooms and private garden,2861881,Sofia & Jorge,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14722,-8.60383,Entire home/apt,150,1,7,2018-08-22,0.06,6,0,0,AL 52876
A Casa Formosa - MidCentury Haven,185209,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14905,-8.60905,Entire home/apt,150,5,150,2022-10-07,1.29,8,275,8,6995/AL
Private house in Oporto - Portugal,613350,Olga,PORTO,Paranhos,41.17563,-8.62323,Entire home/apt,83,2,78,2022-11-14,0.77,1,340,13,17076/AL
Guest-House in Trindade - Center,2514783,Pedro,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15604,-8.60933,Private room,37,3,130,2022-11-29,1.14,5,178,21,49685/AL
Solar Piedade - FANTASTIC 5 bedroom villa,2406517,Hélder,VALONGO,Alfena,41.23578,-8.52927,Entire home/apt,260,5,38,2022-09-25,0.37,1,292,11,15264/AL
B&B - Luxury Suite with HQ private bath,625145,Manuel & Family,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.12424,-8.61346,Private room,68,2,241,2022-09-25,1.72,5,365,15,Exempt
Shining view in the city heart 1,1630185,Ox,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1441,-8.61759,Entire home/apt,82,2,13,2022-04-11,0.1,15,342,2,5929/AL
Back-to-Back House I - City Centre,4585046,Rui,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15117,-8.61461,Entire home/apt,48,2,414,2022-11-30,3.57,1,148,56,
1 bedroom for 1-3 persons,2554908,Yuriy,GONDOMAR,Rio Tinto,41.17257,-8.56586,Private room,76,1,0,,,1,365,0,
B & B  Room Yoga Garden's Place,630252,Aurora,PORTO,Campanhã,41.1546,-8.58985,Private room,31,2,494,2022-12-06,3.64,1,276,33,34971/AL
Go2oporto @ Ribeira do Porto 1,399503,Go2oporto,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14022,-8.61528,Entire home/apt,91,2,37,2022-11-04,0.41,11,315,12,31834/AL
Go2oporto @ Ribeira do Porto 2,399503,Go2oporto,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14023,-8.61512,Entire home/apt,91,2,7,2022-09-29,0.08,11,327,4,31839/AL
Go2oporto @ Ribeira do Porto 3,399503,Go2oporto,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14021,-8.6155,Entire home/apt,86,2,11,2022-08-06,0.09,11,336,5,31843/AL
Home in the geographic center Porto,2477477,Monica,PORTO,Ramalde,41.16693,-8.63799,Private room,45,1,244,2018-09-11,1.91,1,0,0,
B&B-High Quality room 10min. walk from WineCellars,625145,Manuel & Family,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.12557,-8.61512,Private room,28,1,474,2022-11-27,3.39,5,333,74,Exempt
Guest-House in the centre of Porto,2514783,Pedro,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15605,-8.60928,Private room,36,3,162,2022-11-01,1.29,5,179,18,49685/AL
B. Places I,4656501,Ox,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14365,-8.61753,Entire home/apt,66,1,1,2022-05-31,0.15,10,334,1,18106/AL
B. Places II,4656501,Ox,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14142,-8.61745,Entire home/apt,67,1,18,2022-10-10,0.2,10,335,11,18107/AL
Studio - Casa do Pinheiro,648963,António & Irene,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14993,-8.6151,Entire home/apt,40,2,211,2022-12-12,1.51,2,180,40,6184/AL
B. Places III,4656501,Ox,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14287,-8.61613,Entire home/apt,66,1,36,2022-05-29,0.31,10,329,10,18108/AL
B. Places V,4656501,Ox,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14215,-8.61763,Entire home/apt,102,1,60,2022-11-17,0.52,10,333,14,18110/AL
Guest-House in the centre of Porto,2514783,Pedro,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15194,-8.60782,Private room,37,3,202,2022-11-19,1.72,5,176,31,49685/AL
Duplex Apartment - Casa do Pinheiro,648963,António & Irene,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1506,-8.61391,Entire home/apt,47,2,170,2022-11-02,1.22,2,180,35,6184/AL
B. Places IV,4656501,Ox,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14309,-8.61706,Entire home/apt,109,1,40,2022-10-07,0.38,10,317,5,18109/AL
"Sun, sea & city.",489762,Sun Sea City,VILA NOVA DE GAIA,Canidelo,41.1277,-8.66321,Entire home/apt,157,3,177,2020-10-25,2.21,1,0,0,80653
B. Places VI,4656501,Ox,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14355,-8.61621,Entire home/apt,103,1,52,2022-11-23,0.49,10,323,20,18111/AL
RIVERTOP by YoursPorto,1675750,YoursPorto,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14002,-8.61519,Entire home/apt,85,1,382,2022-11-26,2.99,19,263,60,7437/AL
Luxury OPO Beachfront Penthouse w/Pools,660293,Natacha,VILA NOVA DE GAIA,Madalena,41.10432,-8.66025,Entire home/apt,233,2,95,2022-11-05,0.73,1,356,20,2191/AL
Apartment near to Port Wine Cellars,2604677,Adelino,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13501,-8.61047,Entire home/apt,91,3,163,2022-04-05,1.3,1,198,3,45489/2017-333130
"Cozy flat- air cond, rooftop terrace, free parking",680010,Liana,PORTO,Bonfim,41.14622,-8.59423,Entire home/apt,59,2,222,2022-11-01,1.59,12,351,33,4833/AL
downtown|84 Historic Centre Duplex,4994754,Oportodowntown|84,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14297,-8.61462,Entire home/apt,142,2,321,2022-12-11,2.74,2,0,29,25061/AL
Yellow House -  Casa CF,663708,Gabriela,MATOSINHOS,São Mamede de Infesta e Senhora da Hora,41.19279,-8.66029,Private room,55,3,1,2022-07-08,0.19,3,92,1,96640/AL
Loft Clérigos| Historic center,2220420,Tomás,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14578,-8.61271,Entire home/apt,63,2,535,2022-11-27,4.54,8,337,63,26029/AL
"city centre, view to Douro river, private parking",3148983,Rosinda,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14275,-8.60506,Entire home/apt,80,3,58,2018-06-23,0.51,2,1,0,56333/AL
Very spacious and bright room downtown,2606384,Fernanda,PORTO,Bonfim,41.15258,-8.60187,Private room,30,5,12,2022-11-26,0.12,10,154,5,
Apartment Douro river 5 km to Porto,745984,André,GONDOMAR,"Gondomar (São Cosme), Valbom e Jovim",41.12465,-8.54445,Entire home/apt,90,2,111,2022-10-09,0.85,2,363,28,
Quarto e casa banho privado,2634023,Nina,VILA NOVA DE GAIA,São Félix da Marinha,41.03715,-8.64057,Private room,80,2,0,,,1,362,0,
PENSÃO FAVORITA,2643396,Ema,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15061,-8.62086,Private room,120,2,0,,,11,68,0,5525/AL
Majestic Apartment In Downtown Port,2868260,Henrique,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14782,-8.60519,Entire home/apt,61,7,115,2022-09-30,1.09,2,90,6,9594/AL
House with EscolaSuperiorEnferma,748789,Margarida M.,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15889,-8.61002,Entire home/apt,80,3,6,2017-08-13,0.04,1,0,0,
Room in Ribeira Porto view River,5497765,Filipa,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.13994,-8.61363,Entire home/apt,94,3,164,2022-11-28,1.41,1,127,27,92876/AL
Oliveira`s Place,789887,Bravo` S,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14822,-8.61476,Entire home/apt,779,2,102,2020-02-28,1.09,2,146,0,84715/AL
House w/pool Near the Beach-Espinho,559704,Armando,ESPINHO,Anta e Guetim,40.99902,-8.61646,Entire home/apt,70,2,99,2022-11-14,0.86,2,352,13,10224
PENSÃO FAVORITA,2643396,Ema,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15065,-8.62109,Private room,75,2,4,2022-09-26,0.1,11,284,2,5525/AL
PENSÃO FAVORITA,2643396,Ema,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14921,-8.61951,Private room,90,2,2,2022-07-03,0.24,11,303,2,5525/AL
Espaçoso e luminoso Apartamento perto de belas artes I,806826,Miguel,PORTO,Bonfim,41.14536,-8.59792,Entire home/apt,125,3,183,2022-11-03,1.36,4,179,36,5458/AL
PENSÃO FAVORITA,2643396,Ema,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15004,-8.61974,Private room,120,2,0,,,11,301,0,5525/AL
PENSAO FAVORITA,2643396,Ema,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14909,-8.62093,Private room,115,2,0,,,11,319,0,5525/AL
Vitória 392 - Central Loft,5897201,Marco,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14204,-8.61797,Entire home/apt,49,2,496,2022-12-10,4.24,16,332,33,4916/AL
cozy studio 3 in downtown Porto,1266562,Lovely,PORTO,Bonfim,41.14665,-8.59936,Entire home/apt,58,2,180,2022-10-19,1.64,18,335,3,109485/AL
Charming Family House with Garden (6981/AL),897112,Helena,PORTO,Lordelo do Ouro e Massarelos,41.15206,-8.65228,Entire home/apt,65,3,224,2022-10-24,1.63,1,168,11,6981/AL
Studio with river view by YoursPorto,1675750,YoursPorto,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.14245,-8.62651,Entire home/apt,71,1,669,2022-12-02,5.71,19,354,105,23424/AL
PENSÃO FAVORITA,2643396,Ema,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15002,-8.61969,Private room,100,2,1,2019-06-09,0.02,11,82,0,5525/AL
PENSÃO FAVORITA,2643396,Ema,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15052,-8.62127,Private room,90,2,0,,,11,297,0,5525/AL
DESIGN HOUSE OLD TOWN | BALCONY | AIRCO | RIBEIRA,898831,Isabel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14087,-8.61703,Entire home/apt,112,2,314,2022-11-25,2.29,2,311,50,52314/AL
Vitória 392 - Central  Apartment,5897201,Marco,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14396,-8.61734,Entire home/apt,50,2,161,2022-08-31,1.37,16,329,5,4925/AL
Luxury Apartment Downtown - Porto,923371,Carlos,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15328,-8.60758,Entire home/apt,80,3,131,2022-11-06,1.03,2,91,34,5773/AL
Urban apartment - Casa da Portela 5105/AL,6024220,Maria João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14409,-8.61145,Entire home/apt,122,2,133,2022-11-14,1.15,1,330,32,5105/AL
Casas do Pátio - Mercados,2686177,Citybreak,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14284,-8.61469,Entire home/apt,129,1,12,2019-07-30,0.09,24,319,0,40436/AL
EcoArtistic Nest,1020922,João E Susana,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13109,-8.61375,Entire home/apt,31,2,9,2018-01-03,0.07,1,0,0,
Perto da Praia e do Porto.,6020311,Maria,VILA NOVA DE GAIA,Gulpilhares e Valadares,41.09142,-8.65001,Entire home/apt,56,4,15,2022-11-04,0.15,3,338,8,67776/AL
"Farmhouse accommodation, Portugal",1024383,David,VILA DO CONDE,Fornelo e Vairão,41.326347,-8.660382,Private room,30,4,39,2022-10-13,0.43,1,216,2,Exempt
Apartment close the beach and Nature.,6020311,Maria,VILA NOVA DE GAIA,Gulpilhares e Valadares,41.09128,-8.651,Entire home/apt,55,4,2,2022-01-05,0.16,3,341,1,
Casas do Pátio - Azulejos,2686177,Citybreak,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14142,-8.61359,Entire home/apt,145,1,37,2020-02-27,0.3,24,320,0,40626/AL
class & confort downtown / poss parking,1266562,Lovely,PORTO,Bonfim,41.14776,-8.60194,Entire home/apt,80,2,208,2022-11-16,1.54,18,266,12,7235/AL
Oporto Center Private Room1,480980,Paula,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15396,-8.60421,Private room,50,3,316,2022-11-14,2.49,3,362,39,55003/AL
Porto Leça Beach Flat in Matosinhos,2812007,João,MATOSINHOS,Matosinhos e Leça da Palmeira,41.1898,-8.6983,Entire home/apt,51,3,236,2022-11-27,1.95,6,214,31,33782/AL
O'Porto Studio | Historic Center,2220420,Tomás,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14826,-8.61574,Entire home/apt,70,2,555,2022-11-22,4.76,8,320,63,44228/AL
17 Largo Viriato Historic Center,5723366,Miguel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14583,-8.62022,Entire home/apt,73,3,246,2022-11-06,2.12,3,269,31,44934/AL
apartment downtown 1 terrace,1266562,Lovely,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14645,-8.60293,Entire home/apt,58,2,345,2022-10-24,2.56,18,328,6,6762/AL
Mouzinho 134 - Historical Center - Green,3565697,Eugenia And Luis,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14295,-8.61372,Entire home/apt,72,2,369,2022-12-14,3.19,9,360,41,6466/AL
lovely duplex apartment in downtown Porto,1266562,Lovely,PORTO,Bonfim,41.14831,-8.6004,Entire home/apt,80,2,234,2022-11-23,1.75,18,253,31,7235/AL
"Dream corner by waterfalls, 20 min to Porto- Ap3",680010,Liana,PAREDES,Parada de Todeia,41.158642,-8.378835,Entire home/apt,32,2,24,2022-09-02,0.21,12,245,1,25639/AL
tranquility in downtown Porto,1266562,Lovely,PORTO,Bonfim,41.14654,-8.59991,Entire home/apt,58,2,154,2022-11-13,1.16,18,325,9,7233/AL
GuestHouse Pool&Sea Espinho Oporto,6317610,Isa,ESPINHO,Anta e Guetim,40.99925,-8.61615,Private room,70,2,60,2020-01-02,0.52,2,365,0,
Carregal Apartment,1302034,Maria De Lurdes,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14765,-8.61876,Entire home/apt,67,3,282,2022-12-09,2.12,1,315,43,5400/AL
Big House Near Porto and beachs,2838878,Dulce,SANTA MARIA DA FEIRA,Argoncilhe,41.02448,-8.53994,Entire home/apt,180,5,59,2022-10-28,0.49,1,212,3,
Historical City Center Apartment,1385493,Salomé,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15075,-8.6217,Entire home/apt,70,3,316,2022-11-24,2.38,2,98,28,5488/AL
4 Bedroom Apartment  - Porto,6518808,Miguel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.16431,-8.62965,Entire home/apt,139,2,268,2022-12-10,2.31,2,319,46,17079/AL
Porto Center Apartement - Beach 2 KM,506925,Amália,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1605,-8.6327,Entire home/apt,79,5,99,2022-10-31,0.75,1,170,5,87222/AL
Amazing River Views - charming Studio,680010,Liana,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.1386,-8.61002,Entire home/apt,67,2,107,2022-11-13,0.93,12,332,16,18620/AL
Airy & Modern Beachfront Apartment,2851799,Maria C,PORTO,"Aldoar, Foz do Douro e Nevogilde",41.15384,-8.67886,Entire home/apt,95,2,304,2022-12-03,2.4,1,217,20,20531/AL
The peacefulness of the countryside near Oporto,1399935,Teresa E Pedro / Teresa Und Pedro,VILA NOVA DE GAIA,Avintes,41.11834,-8.54862,Entire home/apt,90,7,37,2022-10-29,0.33,2,348,9,2832/AL
"Toc Toc Studio, Fun Bijou Retreat in a Historic Building",2712090,Hugo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14443,-8.61755,Entire home/apt,55,2,488,2022-12-04,3.86,2,334,60,30100/AL
Big private bedroom with private WC,2861881,Sofia & Jorge,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14849,-8.60406,Private room,51,1,35,2019-07-31,0.28,6,0,0,AL 52876
Mouzinho 134 - Historical Center - Blue,3565697,Eugenia And Luis,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14298,-8.61363,Entire home/apt,214,2,413,2022-11-05,3.59,9,350,31,6467/AL
Shining view in the city heart 9,1630185,Ox,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14364,-8.61628,Entire home/apt,105,2,11,2019-08-15,0.12,15,359,0,5929/AL
PortoFLAT Self contained studioflat,1377045,Chris,PORTO,Lordelo do Ouro e Massarelos,41.15906,-8.63666,Entire home/apt,50,3,60,2022-11-23,0.47,1,105,11,60563/AL
Casa 22 ***** City centre cozy apartment!,6847458,Kiki & Teresa,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1456,-8.60623,Entire home/apt,59,5,239,2022-09-19,2.07,2,338,11,
Minimalist House T3 downtown Porto,2868260,Henrique,PORTO,Bonfim,41.15819,-8.60128,Entire home/apt,80,5,140,2022-08-31,1.13,2,206,2,18642/AL
Central Apartment in Porto,1418251,Júlia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15676,-8.60897,Entire home/apt,46,3,139,2022-10-03,1.09,1,359,15,7349/AL
Oporto Downtown Loft - Clérigos,2897689,Joana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1474,-8.61528,Entire home/apt,39,2,441,2022-11-02,3.52,1,361,6,6209/AL
Cozy apartment close metro & beach,2969815,Salomé,MATOSINHOS,Matosinhos e Leça da Palmeira,41.180832,-8.680304,Entire home/apt,54,3,53,2022-10-23,0.46,2,191,16,33393/AL
Casa da Paz | Clean&Safe Vintage House with garden,2993425,"Maria, Gabriela & Tiago",PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15667,-8.62764,Entire home/apt,61,2,364,2022-12-12,2.91,1,315,41,34224/AL
CHARMING ATTIC ROOM & WC + GARDEN,5732545,Pedro,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.16099,-8.62395,Private room,40,3,248,2022-03-13,2.35,1,0,4,45553/AL
charming apartment in downtown Porto 3,1266562,Lovely,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14663,-8.60385,Entire home/apt,62,2,256,2022-11-29,2.0,18,318,27,6760/AL
Light and colorful cosy studio,6250742,Fred,PORTO,Paranhos,41.18221,-8.60921,Entire home/apt,78,2,59,2022-10-30,0.74,10,0,15,87520/AL
3 Room Luxury Apartment in City Centre - nr96,2999213,Feriarcos,VILA DO CONDE,Vila do Conde,41.35313,-8.74471,Entire home/apt,70,2,15,2022-10-14,0.15,2,211,2,64412/AL
Porto center-Priv. room w/ WC&WI-FI,2861881,Sofia & Jorge,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14849,-8.60406,Private room,51,1,73,2019-09-21,0.59,6,0,0,AL 52876
